"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(ElectroPuls (0,1) Waveform)","Position(ElectroPuls (0,1):Position) (mm)","Load(ElectroPuls (0,1):Load) (N)","Displacement(ElectroPuls (0,1):Digital Position) (mm)",
272,28,1,1,2,1,-5.0006437624935,3.83096025325358,-1.09215771275721,
276,32,1,1,2,1,-5.00043767943899,3.8204831071198,-1.09215771275721,
280,36,1,1,2,1,-5.00057849540899,3.81533754989505,-1.09215771275721,
284,40,1,1,2,1,-5.00044751420515,3.8096068892628,-1.09215771275721,
288,44,1,1,2,1,-5.00060352935921,3.80024453625083,-1.09215771275721,
292,48,1,1,2,1,-5.00053870930953,3.79637721925974,-1.09215771275721,
296,52,1,1,2,1,-5.00053870930953,3.79154598340392,-1.09215771275721,
300,56,1,1,2,1,-5.00045153751858,3.78540530800819,-1.09215771275721,
304,60,1,1,2,1,-5.0007389809113,3.77537589520216,-1.09215771275721,
308,64,1,1,2,1,-5.00034559026496,3.77449532970786,-1.09215771275721,
312,68,1,1,2,1,-5.00059503569753,3.7700820248574,-1.09215771275721,
316,72,1,1,2,1,-5.00038537636442,3.76170827075839,-1.09215771275721,
320,76,1,1,2,1,-5.00063705697112,3.76131199300289,-1.09215771275721,
324,80,1,1,2,1,-5.00060352935921,3.76108102500439,-1.09215771275721,
328,84,1,1,2,1,-5.00060352935921,3.75574664212763,-1.09215771275721,
332,88,1,1,2,1,-5.00060352935921,3.74699267558753,-1.09215771275721,
336,92,1,1,2,1,-5.00049534693147,3.74900293536484,-1.09215771275721,
340,96,1,1,2,1,-5.00048730030461,3.74265504069626,-1.09215771275721,
344,100,1,1,2,1,-5.00065806760791,3.73786967247725,-1.09215771275721,
348,104,1,1,2,1,-5.00046584263299,3.74036212451756,-1.09215771275721,
352,108,1,1,2,1,-5.00075909747845,3.73641541227698,-1.09215771275721,
356,112,1,1,2,1,-5.00034246102119,3.72647005133331,-1.09215771275721,
360,116,1,1,2,1,-5.00073853387648,3.7300216499716,-1.09215771275721,
364,120,1,1,2,1,-5.00049087658321,3.72311635874212,-1.09215771275721,
368,124,1,1,2,1,-5.00072422876206,3.7168269045651,-1.09215771275721,
372,128,1,1,2,1,-5.00040504589674,3.71783995069563,-1.09215771275721,
376,132,1,1,2,1,-5.00047210112055,3.71235213242471,-1.09215771275721,
380,136,1,1,2,1,-5.00038269415547,3.70730087161064,-1.09215771275721,
384,140,1,1,2,1,-5.0004783596081,3.70951788499951,-1.09215771275721,
388,144,1,1,2,1,-5.00045734897131,3.70545196346939,-1.09215771275721,
